"subNum","objNum","kitchen","expectancy","recollection","familiar","guess","noMemory"
27,"knife","kitchen",29.80456,"not recollected","familiar","not guessed",0
27,"mixer","kitchen",100,"not recollected","familiar","not guessed",0
27,"bread","kitchen",-100,"recollected","not familiar","not guessed",0
27,"glass jug","kitchen",32.247557,"not recollected","familiar","not guessed",0
27,"mug","kitchen",-27.035831,"not recollected","familiar","not guessed",0
27,"dishes","kitchen",34.85342,"not recollected","not familiar","guessed",0
27,"towels","non-kitchen",10.09772,"not recollected","familiar","not guessed",0
27,"toy","non-kitchen",100,"recollected","not familiar","not guessed",0
27,"pile of books","non-kitchen",13.355049,"not recollected","not familiar","guessed",0
27,"umbrella","non-kitchen",41.042345,"not recollected","not familiar","guessed",0
27,"hat","non-kitchen",100,"recollected","not familiar","not guessed",0
27,"helmet","non-kitchen",37.13355,"not recollected","familiar","not guessed",0
27,"calendar","non-kitchen",-100,"not recollected","familiar","not guessed",0
27,"fan","non-kitchen",34.690554,"recollected","not familiar","not guessed",0
39,"microwave","kitchen",96.416938,"not recollected","not familiar","guessed",0
39,"kitchen roll","kitchen",63.355049,"recollected","not familiar","not guessed",0
39,"saucepan","kitchen",95.276873,"not recollected","not familiar","guessed",0
39,"toaster","kitchen",-95.602606,"not recollected","not familiar","not guessed",1
39,"bowl of fruits","kitchen",-72.312704,"not recollected","familiar","not guessed",0
39,"tea pot","kitchen",82.410423,"not recollected","familiar","not guessed",0
39,"knife","kitchen",-90.553746,"not recollected","not familiar","guessed",0
39,"mixer","kitchen",79.641694,"not recollected","familiar","not guessed",0
39,"bread","kitchen",-9.283388,"not recollected","not familiar","guessed",0
39,"glass jug","kitchen",94.462541,"not recollected","not familiar","not guessed",1
39,"mug","kitchen",90.879479,"not recollected","not familiar","guessed",0
39,"dishes","kitchen",-98.859935,"recollected","not familiar","not guessed",0
39,"towels","non-kitchen",-8.143322,"not recollected","familiar","not guessed",0
39,"toy","non-kitchen",-79.967427,"not recollected","not familiar","guessed",0
39,"pile of books","non-kitchen",-4.560261,"recollected","not familiar","not guessed",0
39,"umbrella","non-kitchen",4.723127,"not recollected","not familiar","guessed",0
39,"hat","non-kitchen",-93.485342,"recollected","not familiar","not guessed",0
39,"helmet","non-kitchen",-64.495114,"not recollected","familiar","not guessed",0
39,"calendar","non-kitchen",-13.355049,"not recollected","familiar","not guessed",0
39,"fan","non-kitchen",-53.094463,"not recollected","not familiar","guessed",0
40,"microwave","kitchen",100,"recollected","not familiar","not guessed",0
40,"kitchen roll","kitchen",100,"recollected","not familiar","not guessed",0
40,"saucepan","kitchen",47.23127,"not recollected","not familiar","guessed",0
40,"toaster","kitchen",100,"recollected","not familiar","not guessed",0
40,"bowl of fruits","kitchen",79.641694,"recollected","not familiar","not guessed",0
40,"tea pot","kitchen",44.136808,"not recollected","familiar","not guessed",0
40,"knife","kitchen",-22.149837,"not recollected","not familiar","guessed",0
40,"mixer","kitchen",65.14658,"not recollected","familiar","not guessed",0
40,"bread","kitchen",100,"recollected","not familiar","not guessed",0
40,"glass jug","kitchen",100,"recollected","not familiar","not guessed",0
40,"mug","kitchen",32.247557,"not recollected","not familiar","guessed",0
40,"dishes","kitchen",35.016287,"not recollected","not familiar","guessed",0
40,"towels","non-kitchen",100,"recollected","not familiar","not guessed",0
40,"toy","non-kitchen",100,"recollected","not familiar","not guessed",0
40,"pile of books","non-kitchen",14.495114,"not recollected","not familiar","guessed",0
40,"umbrella","non-kitchen",100,"recollected","not familiar","not guessed",0
40,"hat","non-kitchen",100,"recollected","not familiar","not guessed",0
40,"helmet","non-kitchen",-11.400651,"not recollected","not familiar","guessed",0
40,"calendar","non-kitchen",100,"recollected","not familiar","not guessed",0
40,"fan","non-kitchen",100,"recollected","not familiar","not guessed",0
41,"microwave","kitchen",90.228013,"not recollected","familiar","not guessed",0
41,"kitchen roll","kitchen",84.364821,"recollected","not familiar","not guessed",0
41,"saucepan","kitchen",69.70684,"not recollected","not familiar","guessed",0
41,"toaster","kitchen",-100,"recollected","not familiar","not guessed",0
41,"bowl of fruits","kitchen",-19.381107,"recollected","not familiar","not guessed",0
41,"tea pot","kitchen",-69.70684,"recollected","not familiar","not guessed",0
41,"knife","kitchen",-19.869707,"recollected","not familiar","not guessed",0
41,"mixer","kitchen",45.114007,"recollected","not familiar","not guessed",0
41,"bread","kitchen",-29.967427,"recollected","not familiar","not guessed",0
